,지하철역,X좌표,Y좌표
146,아현,126.956141,37.557345
147,용답,127.050899,37.561904
148,신답,127.046481,37.57004
149,도림천,126.882768,37.514287
150,양천구청,126.865819,37.512398
151,신정네거리,126.852912,37.520074
152,용두,127.038091,37.574028
153,지축,126.913951,37.648048
154,구파발,126.918821,37.636763
155,녹번,126.935756,37.600927
156,무악재,126.950291,37.582299
157,독립문,126.957748,37.574571
158,경복궁,126.97353,37.575762
159,안국,126.985443,37.576477
160,동대입구,127.005602,37.559052
161,금호,127.015872,37.548034
162,압구정,127.028461,37.527072
163,신사,127.020114,37.516334
164,잠원,127.01122,37.512759
165,남부터미널,127.016189,37.485013
166,매봉,127.046769,37.486947
167,대치,127.063642,37.494612
168,학여울,127.070594,37.496663
169,대청,127.079532,37.493514
170,일원,127.08439,37.483681
171,당고개,127.079066,37.670272
172,상계,127.073572,37.660878
173,쌍문,127.034709,37.648627
174,수유,127.025732,37.638052
175,미아,127.025983,37.62667
176,미아사거리,127.030053,37.613292
177,길음,127.025053,37.603407
178,한성대입구,127.006221,37.588458
179,혜화,127.001844,37.582336
180,명동,126.986325,37.560989
181,회현,126.978246,37.558514
182,숙대입구,126.972106,37.54456
183,신용산,126.967894,37.52917
184,남태령,126.989134,37.463873
185,남영,126.9713,37.541021
186,노량진,126.942454,37.514219
187,대방,126.926382,37.513342
188,영등포,126.907628,37.515504
189,서빙고,126.988537,37.519594
190,한남,127.009169,37.52943
191,응봉,127.034538,37.549946
192,외대앞,127.063549,37.596073
193,신이문,127.067325,37.601854
194,월계,127.058831,37.633212
195,녹천,127.051269,37.644799
196,개포동,127.06614,37.489116
197,대모산입구,127.07272,37.491373
198,양원,127.107906,37.606596
199,구리,127.143869,37.603392
200,도농,127.161153,37.608806
201,양정,127.19364,37.60533
202,덕소,127.208832,37.586781
203,도심,127.222672,37.579622
204,팔당,127.243939,37.547371
205,운길산,127.310115,37.554669
206,양수,127.329098,37.545981
207,신원,127.372921,37.525545
208,국수,127.399367,37.516169
209,아신,127.443173,37.51382
210,오빈,127.473868,37.506062
211,양평(경의중앙선),127.491814,37.492832
212,원덕,127.547076,37.468672
213,용문,127.594647,37.48223
214,서울(경의중앙선),126.969522,37.556328
215,신촌(경의중앙선),126.942319,37.559783
216,서강대,126.935711,37.551881
217,가좌,126.915487,37.568491
218,수색,126.895611,37.580842
219,화전,126.868387,37.602888
220,행신,126.834146,37.612102
221,능곡,126.820783,37.618808
222,곡산,126.801762,37.645676
223,백마,126.794461,37.658239
224,풍산,126.786243,37.672346
225,일산,126.769846,37.682077
226,탄현,126.761086,37.694023
227,야당,126.761356,37.712327
228,운정,126.767257,37.725826
229,금릉,126.765347,37.751322
230,금촌,126.774644,37.766217
231,월롱,126.792587,37.796188
232,파주,126.792783,37.815298
233,문산,126.788047,37.854619
234,신내,127.103218,37.612887
235,갈매,127.114757,37.634118
236,별내,127.12684,37.64202
237,퇴계원,127.143952,37.648311
238,사릉,127.176933,37.65108
239,금곡,127.207853,37.637382
240,평내호평,127.244493,37.653225
241,천마산,127.285379,37.658978
242,마석,127.311767,37.652782
243,대성리,127.379319,37.684071
244,청평,127.42661,37.735488
245,상천,127.454821,37.770246
246,가평,127.510739,37.814536
247,굴봉산,127.557695,37.832067
248,백양리,127.58933,37.830779
249,강촌,127.634146,37.805723
250,춘천,127.717023,37.885054
251,봉명,127.135763,36.801215
252,쌍용(나사렛대),127.1214,36.793759
253,아산,127.104361,36.792053
254,배방,127.052991,36.777629
255,온양온천,127.003249,36.780483
256,신창,126.951108,36.769502
257,선바위,127.002303,37.451673
258,경마공원,127.007888,37.443885
259,대공원,127.006523,37.435675
260,과천,126.996568,37.433021
261,정부과천청사,126.98978,37.426513
262,인덕원,126.976715,37.401553
263,평촌,126.963883,37.394287
264,범계,126.950806,37.389793
265,삼동,127.20336,37.409522
266,경기광주,126.630347,37.399907
267,초월,127.299,37.374419
268,곤지암,127.34674,37.351315
269,신둔도예촌,127.40476,37.317185
270,이천,127.44226,37.265579
271,부발,127.490277,37.260192
272,세종대왕릉,127.570938,37.295309
273,여주,127.628607,37.282701
274,구로,126.881966,37.503039
275,금천구청,126.89398,37.455626
276,석수,126.902295,37.435047
277,관악,126.908706,37.419232
278,안양,126.922874,37.401592
279,명학,126.935433,37.384653
280,군포,126.948462,37.35356
281,의왕,126.948217,37.320852
282,화서,126.989627,37.283862
283,독산,126.889249,37.466613
284,세류,127.013222,37.245025
285,병점,127.032731,37.207503
286,세마,127.04318,37.187533
287,오산대,127.063197,37.168953
288,오산,127.06672,37.145885
289,진위,127.062278,37.109447
290,송탄,127.054301,37.075696
291,서정리,127.052819,37.056496
292,지제,127.070444,37.0188
293,평택,127.085159,36.990726
294,성환,127.126964,36.916076
295,직산,127.143904,36.870593
296,두정,127.14896,36.833705
297,천안,127.146826,36.810005
298,당정,126.948345,37.344285
299,서동탄,127.051672,37.195504
300,광명,126.884466,37.416182
301,산본,126.933274,37.358101
302,대야미,126.917332,37.328467
303,반월,126.903524,37.312212
304,상록수,126.866489,37.302795
305,한대앞,126.85344,37.309689
306,중앙,126.838573,37.315941
307,고잔,126.823249,37.316777
308,초지,126.805913,37.320646
309,안산,126.788532,37.327082
310,신길온천,126.765844,37.338212
311,정왕,126.742989,37.351735
312,수리산,126.925365,37.349801
313,개봉,126.85868,37.494594
314,오류동,126.845365,37.494526
315,역곡,126.811502,37.485178
316,부천,126.782686,37.48405
317,송내,126.753664,37.4876
318,백운,126.707704,37.483664
319,동암,126.702896,37.471408
320,제물포,126.656666,37.466769
321,동인천,126.632802,37.475276
322,부개,126.74109,37.488418
323,간석,126.694181,37.464737
324,도원,126.642706,37.468446
325,중동,126.764843,37.486562
326,도화,126.668672,37.46607
327,서울숲,127.044707,37.543617
328,압구정로데오,127.040534,37.527381
329,소사,126.79544,37.482753
330,가천대,127.126697,37.448605
331,태평,127.127709,37.440019
332,서현,127.123592,37.385126
333,수내,127.114322,37.378455
334,미금,127.10891,37.350077
335,오리,127.108942,37.339824
336,보정,127.108196,37.312752
337,죽전,127.107395,37.324753
338,신갈,127.111313,37.286102
339,상갈,127.108847,37.26181
340,청명,127.078934,37.259489
341,영통,127.071394,37.251568
342,망포,127.057353,37.245795
343,매탄권선,127.040566,37.252759
344,수원시청,127.030736,37.261911
345,매교,127.015678,37.265481
346,월곶,126.742699,37.391769
347,소래포구,126.733522,37.40095
348,인천논현,126.722478,37.400614
349,호구포,126.708627,37.401637
350,남동인더스파크,126.695216,37.407722
351,연수,126.67894,37.417804
352,송도,126.657772,37.428514
353,신포,126.623853,37.46874
354,방학,127.044273,37.667503
355,도봉,127.045595,37.679563
356,망월사,127.047455,37.709914
357,의정부,127.045958,37.738415
358,가능,127.044213,37.748577
359,녹양,127.042292,37.75938
360,양주,127.044708,37.774381
361,덕계,127.056486,37.818486
362,덕정,127.061277,37.843188
363,지행,127.055716,37.892334
364,동두천중앙,127.056482,37.901885
365,보산,127.057277,37.913702
366,동두천,127.05479,37.927878
367,소요산,127.061034,37.9481
368,원당,126.843041,37.653324
369,백석,126.78787,37.643114
370,마두,126.77762,37.652206
371,정발산,126.773359,37.659477
372,주엽,126.761334,37.670072
373,대화,126.747569,37.676087
374,방화,126.812741,37.577446
375,개화산,126.806171,37.572399
376,송정,126.811973,37.561184
377,마곡,126.825448,37.560183
378,발산,126.837668,37.558598
379,우장산,126.836318,37.548768
380,화곡,126.840461,37.541513
381,신정,126.856191,37.524997
382,목동,126.864931,37.526065
383,오목교,126.875181,37.524496
384,양평,126.885778,37.525648
385,여의나루,126.932901,37.527098
386,마포,126.945932,37.539574
387,애오개,126.95682,37.553736
388,서대문,126.966641,37.565773
389,광화문,126.976669,37.571026
390,신금호,127.020331,37.554548
391,행당,127.029476,37.557322
392,마장,127.042973,37.5661
393,답십리,127.052704,37.566747
394,장한평,127.064623,37.56144
395,아차산,127.089761,37.551691
396,광나루,127.10357,37.545303
397,강동,127.132481,37.535804
398,길동,127.140004,37.537801
399,굽은다리,127.142853,37.545477
400,명일,127.143999,37.55137
401,고덕,127.154151,37.555004
402,둔촌동,127.136248,37.527788
403,올림픽공원,127.130848,37.516078
404,방이,127.126133,37.508857
405,개롱,127.13482,37.498079
406,거여,127.14415,37.493105
407,마천,127.152781,37.49499
408,응암,126.915577,37.598605
409,역촌,126.922744,37.606021
410,독바위,126.933031,37.618456
411,구산,126.91727,37.611377
412,새절,126.913629,37.591148
413,증산,126.909645,37.583876
414,월드컵경기장,126.899298,37.569532
415,마포구청,126.903343,37.563515
416,망원,126.910052,37.556094
417,상수,126.922852,37.547716
418,광흥창,126.931993,37.547456
419,대흥,126.942069,37.547771
420,녹사평,126.986695,37.534675
421,이태원,126.994302,37.534488
422,한강진,127.001725,37.539631
423,버티고개,127.007055,37.548013
424,창신,127.015241,37.579661
425,안암,127.029005,37.586272
426,고려대,127.036296,37.590508
427,월곡,127.041518,37.601948
428,상월곡,127.048491,37.606377
429,돌곶이,127.056431,37.610537
430,화랑대,127.084689,37.620064
431,봉화산,127.091401,37.617283
432,장암,127.053196,37.700109
433,수락산,127.055315,37.67785
434,마들,127.057675,37.66494
435,중계,127.064303,37.644583
436,하계,127.06799,37.636352
437,먹골,127.077725,37.610637
438,중화,127.079264,37.602545
439,면목,127.087503,37.588579
440,사가정,127.088478,37.580894
441,용마산,127.086727,37.573647
442,중곡,127.08432,37.565923
443,어린이대공원,127.074658,37.548014
444,뚝섬유원지,127.066704,37.53154
445,청담,127.05335,37.519365
446,학동,127.031656,37.514229
447,논현,127.021415,37.511093
448,반포,127.011727,37.508178
449,내방,126.993513,37.487618
450,남성,126.971251,37.484596
451,숭실대입구,126.953822,37.496029
452,장승배기,126.93915,37.504898
453,신대방삼거리,126.928276,37.499701
454,보라매,126.920428,37.499872
455,신풍,126.90993,37.50008
456,남구로,126.887249,37.486056
457,철산,126.867911,37.47605
458,광명사거리,126.854876,37.479252
459,천왕,126.838713,37.486637
460,까치울,126.810939,37.506207
461,부천종합운동장,126.797337,37.50538
462,춘의,126.787036,37.503663
463,신중동,126.77596,37.503048
464,부천시청,126.763538,37.504631
465,상동,126.753083,37.505781
466,삼산체육관,126.742153,37.506411
467,굴포천,126.73128,37.506997
468,암사,127.127562,37.55021
469,강동구청,127.120508,37.530341
470,몽촌토성,127.112359,37.517409
471,석촌,127.106979,37.505431
472,송파,127.112183,37.499703
473,문정,127.1225,37.485855
474,장지,127.126191,37.478703
475,산성,127.149908,37.457122
476,남한산성입구,127.159816,37.451535
477,단대오거리,127.156866,37.44521
478,신흥,127.147564,37.440918
479,수진,127.140722,37.437428
480,귤현,126.742654,37.566379
481,임학,126.738665,37.545059
482,계산,126.728128,37.543238
483,경인교대입구,126.722597,37.538157
484,작전,126.722527,37.530415
485,갈산,126.721514,37.517268
486,부평시장,126.722244,37.498383
487,동수,126.718247,37.485312
488,부평삼거리,126.710208,37.477679
489,간석오거리,126.707938,37.467048
490,예술회관,126.701012,37.449396
491,인천터미널,126.699706,37.442383
492,문학경기장,126.698579,37.434935
493,선학,126.698863,37.426684
494,신연수,126.693863,37.41804
495,동춘,126.681015,37.404737
496,동막,126.674005,37.397878
497,캠퍼스타운,126.661673,37.387855
498,테크노파크,126.656365,37.382268
499,지식정보단지,126.645168,37.378384
500,인천대입구,126.639484,37.386007
501,검단오류,126.627178,37.594877
502,왕길,126.642696,37.59518
503,검단사거리,126.657108,37.60185
504,마전,126.666998,37.597566
505,독정,126.675844,37.585212
506,검바위,126.677566,37.561405
507,아시아드경기장,126.677122,37.5517
508,서구청,126.676787,37.543742
509,가정,126.675539,37.524649
510,가정중앙시장,126.676672,37.517054
511,석남,126.676203,37.506193
512,서부여성회관,126.676203,37.506193
513,인천가좌,126.675208,37.4897
514,가재울,126.683673,37.484192
515,주안국가산단,126.68113,37.473703
516,시민공원,126.681192,37.458335
517,석천사거리,126.709986,37.456805
518,모래내시장,126.719298,37.45583
519,만수,126.732094,37.454911
520,남동구청,126.736939,37.448161
521,인천대공원,126.752618,37.448769
522,운연,126.75997,37.440127
523,개화,126.798153,37.578608
524,공항시장,126.810678,37.563726
525,신방화,126.816601,37.567532
526,마곡나루,126.829497,37.567336
527,양천향교,126.841333,37.568381
528,가양,126.854456,37.561391
529,증미,126.861939,37.557402
530,등촌,126.865689,37.550632
531,염창,126.874916,37.546936
532,신목동,126.88308,37.544277
533,선유도,126.893525,37.53802
534,국회의사당,126.917874,37.528105
535,샛강,126.928422,37.517274
536,노들,126.953222,37.512887
537,흑석,126.963708,37.50877
538,구반포,126.987332,37.501364
539,신반포,126.995925,37.503415
540,사평,127.015259,37.504206
541,신논현,127.02506,37.504598
542,언주,127.033868,37.507287
543,삼성중앙,127.053282,37.513011
544,봉은사,127.060245,37.514219
545,청라국제도시,126.625327,37.555878
546,운서,126.49379,37.492904
547,공항화물청사,126.476241,37.458366
548,인천국제공항,126.452508,37.447464
549,영종,126.5237,37.511466
550,양재시민의숲,127.03842,37.470023
551,김량장,127.198781,37.237247
552,운동장·송담대,127.209198,37.237845
553,고진,127.214251,37.24484
554,보평,127.218457,37.258965
555,둔전,127.21364,37.267051
556,전대·에버랜드,127.219561,37.285342
557,발곡,127.052803,37.727048
558,범골,127.04353,37.728755
559,경전철의정부,127.043257,37.737202
560,의정부시청,127.034781,37.739256
561,흥선,127.037023,37.743302
562,의정부중앙,127.049565,37.743676
563,동오,127.056947,37.745271
564,새말,127.06362,37.748885
565,경기도청북부청사,127.071495,37.75059
566,효자,127.076902,37.754025
567,곤제,127.083715,37.750471
568,어룡,127.085035,37.742802
569,송산,127.087159,37.737279
570,솔밭공원,127.013252,37.656088
571,삼양,127.018152,37.627165
572,삼양사거리,127.02048,37.621512
573,솔샘,127.013528,37.62124
574,북한산보국문,127.008009,37.612343
575,정릉,127.01349,37.602798
576,동천,127.102976,37.337928
577,수지구청,127.095026,37.322702
578,성복,127.0801,37.313335
579,상현,127.069342,37.297664
580,광교중앙,127.051478,37.288617
581,광교,127.044483,37.30211
582,강남대,127.126033,37.270161
583,지석,127.136515,37.269606
584,어정,127.143714,37.274917
585,동백,127.152716,37.269043
586,초당,127.159443,37.260752
587,삼가,127.168075,37.242115
588,시청·용인대,127.178406,37.239151
589,명지대,127.190294,37.237964
